year,nyc_avg_temp,g_avg_temp,diff
1961,10.03,8.8,1.23
1962,9.32,8.75,0.57
1963,9.32,8.86,0.46
1964,9.96,8.41,1.55
1965,9.63,8.53,1.1
1966,9.75,8.6,1.15
1967,9.3,8.7,0.6
1968,9.75,8.52,1.23
1969,9.76,8.6,1.16
1970,9.77,8.7,1.07
1971,10.01,8.6,1.41
1972,9.49,8.5,0.99
1973,10.96,8.95,2.01
1974,10.08,8.47,1.61
1975,10.56,8.74,1.82
1976,9.53,8.35,1.18
1977,9.96,8.85,1.11
1978,9.17,8.69,0.48
1979,10.02,8.73,1.29
1980,9.86,8.98,0.88
1981,9.95,9.17,0.78
1982,9.78,8.64,1.14
1983,10.51,9.03,1.48
1984,10.26,8.69,1.57
1985,10.26,8.66,1.6
1986,10.15,8.83,1.32
1987,10.32,8.99,1.33
1988,9.93,9.2,0.73
1989,9.66,8.92,0.74
1990,11.32,9.23,2.09
1991,11.36,9.18,2.18
1992,9.57,8.84,0.73
1993,10.04,8.87,1.17
1994,10,9.04,0.96
1995,10.24,9.35,0.89
1996,9.81,9.04,0.77
1997,10,9.2,0.8
1998,11.82,9.52,2.3
1999,11.16,9.29,1.87
2000,9.97,9.2,0.77
2001,10.93,9.41,1.52
2002,11.25,9.57,1.68
2003,9.84,9.53,0.31
2004,10.39,9.32,1.07
2005,10.68,9.7,0.98
2006,11.52,9.53,1.99
2007,10.63,9.73,0.9
2008,10.64,9.43,1.21
2009,10.14,9.51,0.63
2010,11.36,9.7,1.66
2011,11.27,9.52,1.75
2012,11.97,9.51,2.46
2013,12.16,9.61,2.55
2014,12.444,9.57,2.874
2015,13.7222,9.83,3.8922
